
13,13,1,50,1400,590,137,130,UP;null,DOWN;49;104;137;2147483647,RIGHT;null,LEFT;69;51;137;2147483647,,13,LEFT,,13,-36,1
16,16,1,90,1420,606,121,146,UP;null,DOWN;89;43;121;2147483647,RIGHT;125;76;121;2147483647,LEFT;113;39;121;2147483647,,16,DOWN,,16,-4,1
15,15,1,86,1400,598,129,138,UP;165;79;129;2147483647,DOWN;85;43;129;2147483647,RIGHT;null,LEFT;109;23;129;2147483647,,15,UP,,15,-68,1
17,17,1,38,1440,614,113,139,UP;null,DOWN;37;91;113;2147483647,RIGHT;null,LEFT;105;43;113;2147483647,,17,LEFT,,17,-72,1
19,19,1,90,1480,630,97,123,UP;null,DOWN;89;43;97;2147483647,RIGHT;90;100;97;2147483647,LEFT;null,,19,DOWN,,19,8,1
18,18,1,130,1460,622,105,131,UP;null,DOWN;null,RIGHT;153;87;105;2147483647,LEFT;129;79;105;2147483647,,18,RIGHT,,18,-20,1
14,14,1,110,1400,598,129,138,UP;142;76;129;2147483647,DOWN;null,RIGHT;109;23;129;2147483647,LEFT;null,,14,RIGHT,,14,-4,1
22,22,1,94,1490,678,49,159,UP;null,DOWN;117;127;49;2147483647,RIGHT;null,LEFT;93;43;49;2147483647,,22,LEFT,,22,68,1
21,21,1,86,1490,662,65,143,UP;109;19;65;2147483647,DOWN;null,RIGHT;null,LEFT;85;91;65;2147483647,,21,UP,,21,-4,1
20,20,1,82,1490,646,81,127,UP;137;23;81;2147483647,DOWN;81;19;81;2147483647,RIGHT;142;55;81;2147483647,LEFT;null,,20,RIGHT,,20,-4,1
25,25,1,82,1490,702,25,167,UP;null,DOWN;81;115;25;2147483647,RIGHT;null,LEFT;133;43;25;2147483647,,25,DOWN,,25,8,1
24,24,1,110,1490,686,41,155,UP;165;43;41;2147483647,DOWN;null,RIGHT;157;19;41;2147483647,LEFT;109;83;41;2147483647,,24,RIGHT,,24,8,1
27,27,1,114,1490,718,9,158,UP;193;71;9;2147483647,DOWN;113;55;9;2147483647,RIGHT;137;108;9;2147483647,LEFT;null,,27,RIGHT,,27,32,1
23,23,1,154,1490,678,49,159,UP;null,DOWN;null,RIGHT;181;71;49;2147483647,LEFT;153;67;49;2147483647,,23,LEFT,,23,-4,1
26,26,1,150,1490,702,25,167,UP;234;119;25;2147483647,DOWN;null,RIGHT;null,LEFT;149;59;25;2147483647,,26,UP,,26,-12,1
28,28,3,109,430,138,195,93,UP;108;58;195;2147483647,DOWN;143;87;195;2147483647,RIGHT;null,LEFT;null,,28,DOWN,,28,25,1
29,29,3,105,450,146,187,101,UP;104;42;187;2147483647,DOWN;171;79;187;2147483647,RIGHT;null,LEFT;147;19;187;2147483647,,29,UP,,29,26,1
31,31,3,93,530,178,155,77,UP;92;43;155;2147483647,DOWN;119;19;155;2147483647,RIGHT;null,LEFT;null,,31,DOWN,,31,12,1
30,30,3,63,480,160,173,95,UP;null,DOWN;121;28;173;2147483647,RIGHT;62;92;173;2147483647,LEFT;null,,30,RIGHT,,30,80,1
33,33,3,41,530,194,139,61,UP;40;28;139;2147483647,DOWN;null,RIGHT;null,LEFT;99;43;139;2147483647,,33,LEFT,,33,80,1
36,36,3,79,770,242,91,51,UP;86;111;91;111,DOWN;78;43;91;103,RIGHT;null,LEFT;115;55;91;15,,36,DOWN,,36,80,1
35,35,3,93,740,226,107,35,UP;null,DOWN;92;99;107;2147483647,RIGHT;null,LEFT;111;19;107;2147483647,,35,LEFT,,35,80,1
37,37,3,81,770,250,83,59,UP;null,DOWN;123;99;83;135,RIGHT;null,LEFT;80;19;83;63,,37,LEFT,,37,80,1
32,32,3,96,530,186,147,69,UP;null,DOWN;132;79;147;2147483647,RIGHT;null,LEFT;95;95;147;2147483647,,32,LEFT,,32,80,1
34,34,3,84,730,210,123,45,UP;null,DOWN;107;115;123;2147483647,RIGHT;null,LEFT;83;87;123;2147483647,,34,LEFT,,34,80,1
41,41,2,108,1190,411,171,128,UP;144;19;171;2147483647,DOWN;107;19;171;2147483647,RIGHT;null,LEFT;null,,41,UP,,41,-32,1
38,38,2,97,1160,395,187,128,UP;96;39;187;2147483647,DOWN;123;75;187;2147483647,RIGHT;null,LEFT;null,,38,UP,,38,9,1
40,40,2,116,1180,403,179,136,UP;null,DOWN;115;51;179;2147483647,RIGHT;null,LEFT;152;27;179;2147483647,,40,LEFT,,40,36,1
39,39,2,133,1160,395,187,128,UP;188;115;187;2147483647,DOWN;null,RIGHT;143;79;187;2147483647,LEFT;132;59;187;2147483647,,39,UP,,39,37,1
43,43,2,105,1190,451,131,112,UP;115;19;131;2147483647,DOWN;null,RIGHT;null,LEFT;104;51;131;2147483647,,43,UP,,43,-19,1
