
18,18,3,675,1090,UP;84;2147483647;0;115;3,DOWN;null,LEFT;34;2147483647;0;83;3,RIGHT;null,,18,LEFT,,18,200,1
19,19,3,687,1120,UP;null,DOWN;106;2147483647;0;111;3,LEFT;10;2147483647;0;71;27,RIGHT;null,,19,LEFT,,19,190,1
20,20,2,742,1290,UP;126;2147483647;0;152;3,DOWN;null,LEFT;null,RIGHT;150;2147483647;0;187;3,,20,LEFT,,20,20,1
23,23,1,883,1310,UP;130;2147483647;0;152;3,DOWN;null,LEFT;148;2147483647;0;168;51,RIGHT;null,,23,LEFT,,23,40,1
23,23,1,935,1320,UP;50;2147483647;0;116;3,DOWN;null,LEFT;null,RIGHT;98;2147483647;0;164;3,,23,LEFT,,23,50,1
23,23,1,947,1350,UP;null,DOWN;119;2147483647;0;192;3,LEFT;null,RIGHT;79;2147483647;0;152;3,,23,LEFT,,23,20,1
26,26,1,1071,1370,UP;102;2147483647;0;127;39,DOWN;null,LEFT;30;2147483647;0;175;15,RIGHT;null,,26,LEFT,,26,0,1
26,26,1,1083,1370,UP;102;2147483647;0;163;3,DOWN;null,LEFT;6;2147483647;0;200;51,RIGHT;null,,26,LEFT,,26,0,1
26,26,3,6,20,UP;null,DOWN;2147483647;2147483647;0;83;3,LEFT;null,RIGHT;2147483647;2147483647;0;56;24,,26,LEFT,,26,30,1
27,27,3,18,50,UP;null,DOWN;2147483647;2147483647;0;71;3,LEFT;2147483647;2147483647;0;91;35,RIGHT;null,,27,LEFT,,27,50,1
28,28,3,42,50,UP;111;2147483647;0;67;11,DOWN;103;2147483647;0;95;47,LEFT;15;2147483647;0;103;47,RIGHT;null,,28,LEFT,,28,80,1
29,29,2,66,100,UP;2147483647;2147483647;0;79;3,DOWN;2147483647;2147483647;0;35;3,LEFT;null,RIGHT;null,,29,LEFT,,29,40,1
30,30,2,78,130,UP;2147483647;2147483647;0;67;3,DOWN;null,LEFT;2147483647;2147483647;0;72;24,RIGHT;2147483647;2147483647;0;115;59,,30,LEFT,,30,40,1
31,31,2,103,140,UP;80;2147483647;0;67;3,DOWN;110;2147483647;0;47;3,LEFT;80;2147483647;0;115;59,RIGHT;null,,31,LEFT,,31,100,1
32,32,1,147,170,UP;null,DOWN;2147483647;2147483647;0;79;35,LEFT;2147483647;2147483647;0;55;3,RIGHT;null,,32,LEFT,,32,100,1
33,33,1,175,240,UP;2147483647;2147483647;0;35;3,DOWN;null,LEFT;2147483647;2147483647;0;27;3,RIGHT;2147483647;2147483647;0;87;3,,33,LEFT,,33,190,1
34,34,1,187,270,UP;null,DOWN;79;2147483647;0;72;3,LEFT;119;2147483647;0;15;3,RIGHT;null,,34,LEFT,,34,160,1
35,35,1,239,430,UP;null,DOWN;55;43;163;119;39,LEFT;79;67;163;84;15,RIGHT;79;67;163;87;3,,35,DOWN,,35,0,1
36,36,3,25,70,UP;null,DOWN;null,LEFT;2147483647;2147483647;0;63;3,RIGHT;2147483647;2147483647;0;51;3,,36,LEFT,,36,60,1
37,37,3,37,100,UP;null,DOWN;2147483647;2147483647;0;83;3,LEFT;2147483647;2147483647;0;51;3,RIGHT;null,,37,LEFT,,37,60,1
38,38,3,49,130,UP;120;2147483647;0;99;3,DOWN;null,LEFT;78;2147483647;0;39;3,RIGHT;null,,38,LEFT,,38,60,1
39,39,3,61,160,UP;125;2147483647;0;35;3,DOWN;78;2147483647;0;107;3,LEFT;85;2147483647;0;27;3,RIGHT;null,,39,LEFT,,39,190,1
40,40,3,73,190,UP;null,DOWN;61;2147483647;0;72;3,LEFT;125;2147483647;0;15;3,RIGHT;null,,40,LEFT,,40,230,1
41,41,3,125,350,UP;null,DOWN;82;46;163;119;3,LEFT;95;70;163;84;15,RIGHT;68;70;163;87;15,,41,DOWN,,41,120,1
42,42,3,153,420,UP;null,DOWN;82;18;135;104;35,LEFT;null,RIGHT;44;76;135;91;3,,42,UP,,42,50,1
45,45,1,326,480,UP;114;2147483647;0;103;35,DOWN;106;2147483647;0;95;51,LEFT;106;2147483647;0;92;23,RIGHT;null,,45,LEFT,,45,40,1
45,45,1,350,490,UP;92;2147483647;0;68;3,DOWN;84;2147483647;0;71;3,LEFT;null,RIGHT;null,,45,LEFT,,45,40,1
45,45,1,362,520,UP;92;2147483647;0;115;3,DOWN;null,LEFT;110;2147483647;0;56;24,RIGHT;null,,45,LEFT,,45,50,1
46,46,1,387,530,UP;106;2147483647;0;31;3,DOWN;110;2147483647;0;83;3,LEFT;null,RIGHT;null,,46,LEFT,,46,70,1
47,47,1,403,570,UP;null,DOWN;null,LEFT;74;2147483647;0;47;3,RIGHT;74;2147483647;0;15;3,,47,LEFT,,47,60,1
48,48,1,415,600,UP;52;2147483647;0;35;3,DOWN;90;2147483647;0;107;3,LEFT;90;2147483647;0;107;3,RIGHT;null,,48,LEFT,,48,50,1
49,49,1,427,630,UP;106;2147483647;0;135;3,DOWN;null,LEFT;68;2147483647;0;95;3,RIGHT;null,,49,LEFT,,49,20,1
52,52,1,667,650,UP;null,DOWN;90;2147483647;0;119;51,LEFT;52;2147483647;0;84;15,RIGHT;90;2147483647;0;87;15,,52,LEFT,,52,0,1
52,52,1,679,650,UP;null,DOWN;92;2147483647;0;72;3,LEFT;52;2147483647;0;136;67,RIGHT;null,,52,LEFT,,52,0,1
52,52,3,9,30,UP;2147483647;2147483647;0;71;3,DOWN;null,LEFT;2147483647;2147483647;0;47;3,RIGHT;null,,52,LEFT,,52,60,1
53,53,3,21,60,UP;null,DOWN;2147483647;2147483647;0;51;3,LEFT;2147483647;2147483647;0;35;3,RIGHT;null,,53,LEFT,,53,200,1
54,54,3,33,90,UP;2147483647;2147483647;0;91;3,DOWN;null,LEFT;2147483647;2147483647;0;23;3,RIGHT;null,,54,LEFT,,54,200,1
55,55,3,85,260,UP;120;124;171;119;3,DOWN;null,LEFT;null,RIGHT;144;148;171;87;3,,55,DOWN,,55,120,1
56,56,3,97,290,UP;120;142;159;107;3,DOWN;null,LEFT;null,RIGHT;168;168;159;75;3,,56,DOWN,,56,120,1
57,57,3,133,380,UP;140;124;123;95;3,DOWN;null,LEFT;null,RIGHT;129;124;123;39;3,,57,DOWN,,57,200,1
58,58,3,145,410,UP;105;118;111;59;3,DOWN;null,LEFT;null,RIGHT;121;134;111;27;3,,58,DOWN,,58,200,1
59,59,3,197,580,UP;2147483647;55;175;91;3,DOWN;null,LEFT;2147483647;103;175;139;3,RIGHT;null,,59,DOWN,,59,80,1
60,60,3,209,610,UP;null,DOWN;2147483647;137;163;167;3,LEFT;2147483647;97;163;127;3,RIGHT;null,,60,DOWN,,60,50,1
63,63,3,373,660,UP;119;2147483647;0;91;3,DOWN;null,LEFT;140;2147483647;0;139;15,RIGHT;null,,63,LEFT,,63,30,1
63,63,3,385,660,UP;null,DOWN;183;2147483647;0;167;39,LEFT;111;2147483647;0;127;3,RIGHT;null,,63,LEFT,,63,60,1
63,63,3,397,690,UP;87;2147483647;0;115;3,DOWN;null,LEFT;111;2147483647;0;151;3,RIGHT;null,,63,LEFT,,63,40,1
66,66,2,609,730,UP;2147483647;2147483647;0;79;23,DOWN;null,LEFT;2147483647;2147483647;0;103;35,RIGHT;null,,66,LEFT,,66,20,1
66,66,2,645,740,UP;45;2147483647;0;67;3,DOWN;97;2147483647;0;163;3,LEFT;110;2147483647;0;92;24,RIGHT;null,,66,LEFT,,66,20,1
66,66,2,670,750,UP;75;2147483647;0;67;3,DOWN;134;2147483647;0;163;3,LEFT;110;2147483647;0;115;59,RIGHT;null,,66,LEFT,,66,40,1
67,67,1,703,760,UP;null,DOWN;null,LEFT;2147483647;2147483647;0;39;3,RIGHT;2147483647;2147483647;0;75;3,,67,LEFT,,67,60,1
68,68,1,715,790,UP;2147483647;2147483647;0;35;3,DOWN;2147483647;2147483647;0;107;3,LEFT;2147483647;2147483647;0;27;3,RIGHT;null,,68,LEFT,,68,190,1
69,69,1,727,820,UP;null,DOWN;2147483647;2147483647;0;72;3,LEFT;2147483647;2147483647;0;15;3,RIGHT;null,,69,LEFT,,69,230,1
70,70,1,779,980,UP;null,DOWN;77;73;163;119;3,LEFT;86;90;163;84;15,RIGHT;77;77;163;87;15,,70,DOWN,,70,70,1
73,73,1,855,1050,UP;null,DOWN;109;152;87;152;23,LEFT;null,RIGHT;9;83;87;115;35,,73,DOWN,,73,30,1
