
12,12,3,690,241,65,UP;45;60;66;2147483647,DOWN;45;60;66;2147483647,RIGHT;null,LEFT;null,,12,UP,,12,70,1
13,13,3,720,253,59,UP;59;54;54;2147483647,DOWN;null,RIGHT;null,LEFT;59;54;54;2147483647,,13,UP,,13,470,1
14,14,3,760,269,61,UP;null,DOWN;null,RIGHT;45;53;38;2147483647,LEFT;85;53;38;2147483647,,14,RIGHT,,14,460,1
15,15,3,1190,281,73,UP;45;45;26;-1,DOWN;45;45;26;-1,RIGHT;45;45;26;-1,LEFT;null,,15,RIGHT,,15,40,1
16,16,3,1220,293,85,UP;45;27;14;-1,DOWN;null,RIGHT;45;27;14;-1,LEFT;null,,16,RIGHT,,16,10,1
17,17,3,1230,305,97,UP;null,DOWN;45;15;2;-1,RIGHT;45;15;2;-1,LEFT;null,,17,DOWN,,17,30,1
18,18,3,1230,319,86,UP;53;2147483647;2147483647;78,DOWN;91;2147483647;2147483647;78,RIGHT;null,LEFT;null,,18,UP,,18,40,1
19,19,3,1230,319,86,UP;null,DOWN;null,RIGHT;25;2147483647;2147483647;42,LEFT;108;2147483647;2147483647;42,,19,RIGHT,,19,40,1
20,20,3,1230,331,74,UP;29;2147483647;2147483647;54,DOWN;null,RIGHT;29;2147483647;2147483647;54,LEFT;29;2147483647;2147483647;54,,20,UP,,20,40,1
22,22,3,1230,333,72,UP;null,DOWN;69;2147483647;2147483647;44,RIGHT;null,LEFT;69;2147483647;2147483647;44,,22,DOWN,,22,40,1
21,21,3,1230,331,74,UP;null,DOWN;31;2147483647;2147483647;18,RIGHT;31;2147483647;2147483647;18,LEFT;null,,21,RIGHT,,21,40,1
23,23,3,1240,337,68,UP;25;2147483647;2147483647;18,DOWN;25;2147483647;2147483647;18,RIGHT;25;2147483647;2147483647;18,LEFT;null,,23,RIGHT,,23,40,1
24,24,3,1260,345,60,UP;null,DOWN;64;2147483647;2147483647;44,RIGHT;69;2147483647;2147483647;44,LEFT;64;2147483647;2147483647;44,,24,LEFT,,24,40,1
26,26,3,1270,359,46,UP;39;2147483647;2147483647;36,DOWN;null,RIGHT;39;2147483647;2147483647;36,LEFT;79;2147483647;2147483647;36,,26,LEFT,,26,30,1
25,25,3,1270,355,50,UP;19;2147483647;2147483647;6,DOWN;null,RIGHT;null,LEFT;19;2147483647;2147483647;6,,25,UP,,25,50,1
30,30,3,1270,371,34,UP;63;2147483647;2147483647;42,DOWN;null,RIGHT;null,LEFT;78;2147483647;2147483647;42,,30,LEFT,,30,60,1
29,29,3,1270,369,36,UP;16;2147483647;2147483647;35,DOWN;96;2147483647;2147483647;35,RIGHT;null,LEFT;null,,29,UP,,29,70,1
27,27,3,1270,361,44,UP;25;2147483647;2147483647;6,DOWN;97;2147483647;2147483647;6,RIGHT;null,LEFT;null,,27,UP,,27,70,1
31,31,3,1280,373,32,UP;25;2147483647;2147483647;6,DOWN;null,RIGHT;25;2147483647;2147483647;6,LEFT;null,,31,RIGHT,,31,140,1
32,32,3,1300,381,24,UP;8;2147483647;2147483647;11,DOWN;null,RIGHT;null,LEFT;8;2147483647;2147483647;11,,32,UP,,32,130,1
33,33,3,1300,383,22,UP;null,DOWN;54;2147483647;2147483647;62,RIGHT;null,LEFT;54;2147483647;2147483647;62,,33,LEFT,,33,140,1
28,28,3,1270,367,38,UP;19;2147483647;2147483647;6,DOWN;null,RIGHT;19;2147483647;2147483647;6,LEFT;null,,28,RIGHT,,28,180,1
36,36,3,1340,397,8,UP;null,DOWN;null,RIGHT;56;2147483647;2147483647;11,LEFT;8;2147483647;2147483647;11,,36,LEFT,,36,170,1
